generation_counter,fitness,best_fitness
1,121.09,129
2,122.61,133
3,124.41,133
4,125.52,137
5,126.88,137
6,127.6,137
7,127.57,137
8,127.83,137
9,128.59,137
10,128.81,137
11,130.34,137
12,131.21,139
13,132.38,141
14,133.16,141
15,133.79,141
16,134.08,141
17,134.46,141
18,135.73,141
19,135.55,141
20,135.96,141
21,136.05,141
22,136.62,141
23,136.12,141
24,136.07,141
25,137.17,141
26,137.33,141
27,137.23,141
28,137.25,141
29,137.75,141
30,137.93,141
31,138.3,141
32,138.48,141
33,138.4,143
34,138.5,145
35,138.36,145
36,138.99,145
37,139.08,145
38,139.57,145
39,139.84,145
40,140.18,145
41,140.21,145
42,140.4,145
43,140.75,145
44,140.95,145
45,140.91,145
46,141.44,145
47,141.37,145
48,141.45,145
49,142.05,145
50,142.69,145
51,142.21,145
52,142.77,145
53,143.56,145
54,143.36,145
55,143.14,145
56,143.27,145
57,143.16,145
58,143.83,145
59,143.57,145
60,143.78,145
61,144.02,145
62,143.39,145
63,143.32,145
64,143.77,145
65,143.21,145
66,143.49,145
67,143.85,145
68,143.62,145
69,143.64,145
70,143.72,145
71,143.58,145
72,143.55,145
73,143.62,145
74,143.84,145
75,143.87,145
76,143.34,145
77,143.84,145
78,144.26,145
79,143.62,145
80,143.35,145
81,143.47,145
82,143.76,145
83,143.3,145
84,143.36,145
85,143.4,145
86,143.28,145
87,143.81,145
88,143.49,145
89,143.95,145
90,143.71,145
91,143.73,145
92,143.77,145
93,144.06,145
94,144.4,145
95,143.58,145
96,143.95,145
97,143.47,145
98,142.99,145
99,143.84,145
100,143.3,145
101,143.32,145
102,143.54,145
103,143.63,145
104,143.52,145
105,143.74,145
106,143.61,145
107,144.04,145
108,143.64,145
109,143.63,145
110,143.55,145
111,143.32,145
112,143.08,145
113,143.73,145
114,143.29,145
115,143.94,145
116,143.21,145
117,143.35,145
118,143.3,145
119,143.35,145
120,143.36,145
121,143.09,145
122,144.15,145
123,143.94,145
124,143.8,145
125,143.52,145
126,143.94,145
127,143.8,145
128,143.47,145
129,143.34,145
130,143.35,145
131,143.75,145
132,143.15,145
133,143.39,145
134,143.14,145
135,143.99,145
136,143.95,145
137,143.58,145
138,143.41,145
139,143.77,145
140,143.54,145
141,144.06,145
142,143.41,145
143,143.91,145
144,143.66,145
145,143.66,145
146,142.45,145
147,142.89,145
148,143.68,145
149,143.5,145
150,143.55,145
151,143.2,145
152,143.74,145
153,143.56,145
154,143.23,145
155,143.04,145
156,143.39,145
157,143.38,145
158,143.99,145
159,144.06,145
160,143.89,145
161,143.13,145
162,143.34,145
163,143.14,145
164,143.64,145
165,143.2,145
166,143.18,145
167,143.82,145
168,143.3,145
169,143.21,145
170,143.97,145
171,143.32,145
172,143.27,145
173,143.7,145
174,143.48,145
175,143.44,145
176,143.14,145
177,143.64,145
178,143.34,145
179,143.73,145
180,143.31,145
181,143.36,145
182,143.74,145
183,143.26,145
184,143.5,145
185,142.96,145
186,143.33,145
187,143.27,145
188,143.54,145
189,143.82,145
190,143.86,145
191,144.08,145
192,143.86,145
193,143.72,145
194,144.24,145
195,144.25,145
196,143.74,145
197,143.7,145
198,143.63,145
199,143.43,145
200,143.76,145
