generation_counter,fitness,best_fitness
1,561.96,583
2,566.6,592
3,569.85,592
4,572.34,592
5,576.96,600
6,580.52,604
7,584.75,604
8,587.31,604
9,592.34,608
10,595.97,612
11,598.6,614
12,598.92,614
13,600.31,614
14,600.85,614
15,600.03,614
16,601.63,614
17,602.36,614
18,603.72,616
19,603.4,616
20,603.13,618
21,603.65,618
22,603.76,618
23,604.96,618
24,604.53,623
25,605.98,623
26,606.61,623
27,606.06,623
28,606.58,623
29,608.04,623
30,608.73,624
31,608.44,631
32,609.11,631
33,611.57,631
34,612.11,631
35,611.28,631
36,613.58,631
37,614.4,631
38,614.14,631
39,613.83,631
40,614.97,631
41,615.28,631
42,615.37,633
43,614.5,633
44,614.23,633
45,614.56,633
46,615.98,633
47,616.68,633
48,617.88,635
49,617.01,637
50,617.48,637
51,619.31,637
52,619.29,637
53,620.0,637
54,620.7,637
55,621.85,637
56,622.52,637
57,623.5,637
58,623.25,637
59,624.35,637
60,624.36,642
61,623.65,642
62,625.84,642
63,624.78,642
64,624.59,642
65,624.25,642
66,623.64,642
67,623.2,642
68,624.27,642
69,624.62,642
70,625.31,642
71,624.62,642
72,624.67,642
73,624.57,642
74,625.48,642
75,623.76,642
76,625.52,642
77,625.62,642
78,624.84,642
79,626.62,642
80,626.61,642
81,626.27,642
82,626.6,642
83,626.63,642
84,626.04,642
85,626.08,642
86,624.79,642
87,623.59,642
88,623.74,642
89,624.12,642
90,624.5,642
91,624.48,642
92,626.02,642
93,625.56,642
94,625.48,642
95,627.3,642
96,626.95,642
97,625.79,642
98,626.09,642
99,624.17,642
100,625.9,642
101,625.76,642
102,625.26,642
103,623.75,642
104,624.38,642
105,624.71,642
106,625.63,642
107,625.8,642
108,624.42,642
109,624.6,642
110,626.16,642
111,626.78,642
112,626.3,642
113,626.38,642
114,627.08,642
115,627.0,642
116,628.06,642
117,627.95,642
118,625.13,642
119,625.57,642
120,626.54,642
121,626.9,642
122,627.12,644
123,626.02,644
124,624.55,644
125,624.05,644
126,624.3,644
127,624.35,644
128,624.75,644
129,625.75,644
130,626.47,644
131,626.17,644
132,625.97,644
133,626.34,644
134,624.49,644
135,625.68,644
136,625.9,646
137,626.46,646
138,625.72,646
139,625.92,646
140,627.48,646
141,627.98,646
142,627.66,646
143,626.52,646
144,626.48,646
145,625.63,646
146,626.36,646
147,625.94,646
148,626.18,646
149,625.19,646
150,624.34,646
151,625.54,646
152,625.25,646
153,624.4,646
154,625.06,646
155,625.3,646
156,625.88,646
157,626.52,646
158,627.14,646
159,627.34,646
160,627.48,646
161,625.94,646
162,626.87,646
163,626.79,646
164,627.44,646
165,627.38,646
166,629.28,646
167,629.44,646
168,629.36,646
169,628.34,646
170,629.06,646
171,629.27,648
172,629.74,648
173,630.7,648
174,630.3,648
175,629.84,648
176,629.94,648
177,628.76,648
178,629.36,648
179,628.31,648
180,628.73,648
181,627.8,648
182,627.97,648
183,627.2,648
184,627.34,648
185,627.25,648
186,628.16,648
187,626.8,648
188,629.34,648
189,631.18,648
190,630.98,648
191,631.66,648
192,632.84,648
193,632.1,648
194,631.87,648
195,630.01,648
196,630.07,648
197,629.57,648
198,629.94,648
199,628.94,648
200,629.84,648
